Amostra	MassacorporalKg	Comprimentom
urso77	254.0604235	1.989336784
urso78	267.6603973	1.851689573
urso79	238.6430231	1.760346508
urso80	264.0807287	3.031004654
urso81	226.1515716	2.513159388
urso82	271.0541422	1.566988232
urso83	277.1201243	2.934916938
urso84	260.5411512	2.255436161
urso85	260.9657297	2.880001123
urso86	247.8523409	2.452094487
urso87	268.1697595	1.082850503
urso88	257.6922489	2.164741676
urso89	246.3400672	0.952385231
urso90	269.5006032	2.282383102
urso91	228.4631598	1.762439675
urso92	259.4287511	2.323463474
urso93	281.3472628	2.052274492
urso94	254.9906588	2.757659209
urso95	277.8761265	2.309625259
urso96	290.6048227	2.875478306
urso97	255.7604581	2.777617081
urso98	267.2124255	2.754407503
urso99	281.2430906	2.960540914
urso100	260.1643387	3.291483946
urso101	270.8237401	3.093515368
urso102	249.6772888	1.620950273
urso103	260.9436359	0.603355937
urso104	277.9691888	2.17975671
urso105	283.8705773	2.623134855
urso106	257.7727301	1.874506257
urso107	260.7164937	1.649898201
urso108	265.3090435	2.228824624
urso109	257.2308368	2.377135696
urso110	261.9137943	2.357409028
urso111	274.7150708	2.395815322
urso112	242.3987059	3.032572408
urso113	270.4437993	1.834465173
urso114	244.0301417	1.636294269
urso115	268.8968116	2.36819871
urso116	257.1708719	2.765444513
urso117	267.3428634	2.639537446
urso118	253.6517319	2.373928855
urso119	275.7461495	2.609177265
urso120	264.0083273	2.665033983
urso121	262.4242241	1.609855786
urso122	254.3034595	1.744719875
urso123	317.7444557	3.655854852
urso124	282.6071186	2.288978852
urso125	317.9921011	2.336524706
urso126	319.1566324	2.647144817
urso127	328.2318103	2.206537076
urso128	304.6105198	3.916190332
urso129	323.4913916	2.611724962
urso130	321.8273222	2.929562823
urso131	307.9458852	3.35913232
urso132	274.5132891	3.919694669
urso133	307.9347561	3.689354762
urso134	279.5654987	3.920921905
urso135	293.69466	2.675736938
urso136	302.6532424	4.11328084
urso137	292.5699337	0.877921495
urso138	278.3995159	2.410902043
urso139	318.117342	2.874429326
urso140	329.9857776	2.868605715
urso141	290.2771195	3.020539809
urso142	343.6423304	3.218883852
urso143	271.3628177	3.835322669
urso144	319.6948205	3.562401582
urso145	330.7420547	3.186432553
urso146	322.9017284	3.8361741
urso147	293.6005042	2.7928655
urso148	280.2670021	2.828913165
urso149	319.7112561	2.800743534
urso150	291.8316456	1.958275445
urso151	274.5670576	2.364049223
urso152	313.908087	4.265751959
urso153	276.9314208	3.357961071
urso154	312.9577148	1.555468658
urso155	283.4787742	3.004608298
urso156	284.9275224	2.72029688
urso157	289.585076	3.899348582
urso158	296.4711263	3.024827821
urso159	262.9866267	2.48989014
urso160	294.6765126	3.163809208
urso161	310.0483426	2.237713173
urso162	308.552171	2.072405014
urso163	319.2409537	4.21226504
urso164	318.6011671	3.041088088
urso165	320.7400642	3.364358716
urso166	305.543537	4.369240757
urso167	324.722218	4.63797225
urso168	312.29454	2.751887789
urso169	331.7317811	2.297321268
urso170	314.9174064	2.521859097
urso171	320.070886	4.81929472
urso172	311.6470565	3.134464905
urso173	306.8536877	3.460486561
urso174	304.5596899	2.877361876
urso175	260.9987254	2.505380247
urso176	317.3672459	2.728387408
urso177	287.4060702	3.74046491
urso178	308.8610556	3.659275995
urso179	309.637248	2.711136113
urso180	299.8693941	3.229356492
urso181	291.4779938	3.418267374
urso182	331.7028542	3.711908949
urso183	325.5378691	2.992502012
urso184	300.7833939	2.453054404
urso185	320.726332	3.398321158
urso186	305.7604902	2.640024341
urso187	318.4155528	3.83267878
urso188	298.1078584	3.223278741
urso189	279.4400293	2.138249754
urso190	263.3920168	3.251738496
urso191	307.5098577	2.517122523
urso192	302.7464325	2.831146132
urso193	309.9073974	3.727742878
urso194	299.7335902	3.580723013
urso195	299.6387527	1.522563723
urso196	282.6067829	2.879603276
urso197	291.5263102	2.009719959
urso198	262.6224268	3.802866554
urso199	338.4709845	2.187514759
urso200	282.3712211	1.846671169
urso201	309.1601075	2.29541091
urso202	300.0757829	2.974462747
urso203	287.9248862	3.379006117
urso204	283.3457892	2.333053627
urso205	295.9510616	3.824163543
urso206	295.6576072	3.234084206
urso207	322.898348	2.633734921
urso208	287.7301322	4.136355458
urso209	324.003897	3.18459022
urso210	305.7401053	2.442198425
urso211	304.4172752	2.690313418
urso212	318.8023118	3.511522784
urso213	289.5723171	3.61503173
urso214	298.3136794	3.815197756
urso215	336.6358827	3.277683097
urso216	310.3971014	2.467667253
urso217	323.4365479	4.337227219
urso218	321.7578529	3.215033791
urso219	299.738561	2.825922954
urso220	301.2179461	2.875292541
urso221	315.6664138	2.177923275
urso222	311.7758764	3.047121593
urso223	307.4376486	2.867849786
urso224	302.6958655	2.547074555
urso225	291.640236	3.440611695
urso226	284.1438822	4.022111689
urso227	292.6123889	2.858479101
urso228	281.3765436	2.976706128
urso229	276.0078202	3.151188523
urso230	323.4612818	1.466050881
urso231	314.6959112	2.793914408
urso232	318.5427357	2.478522504
urso233	291.6761091	2.902300469
urso234	310.2099649	2.003117189
urso235	308.0043095	2.392937001
urso236	280.4084185	4.012459823
urso237	301.5410484	2.467060096
urso238	300.0055529	2.92849019
urso239	293.6792157	2.149882496
urso240	308.5956006	2.350660654
urso241	317.265986	2.452045499
urso242	295.0900903	3.991839423
urso243	290.1695119	2.761869158
urso244	325.0625726	2.38226329
urso245	294.5199381	2.314248384
urso246	309.0139958	3.875581358
urso247	324.0235387	1.936646672
urso248	266.8525267	1.599072379
urso249	304.1532727	2.887766819
urso250	230.9106059	2.061278835
